"gamma","r.x.v","LW","LS","W","S","GFIC","J10","J5","BIC","HQ","AIC"
0,0,0.0721338417475525,0.0514139481166086,0.0512922406973756,0.0417816406878108,0.0569743210353846,0.0461405645568258,0.0439280324853113,0.0435568720522121,0.0457886050000773,0.0517240127664555
0,0.005,0.0707936485677133,0.0514033525092709,0.0508886175143695,0.0417728855147704,0.0561304859160793,0.0454237087284452,0.0434025800630545,0.0436372470839838,0.0463982458769109,0.0513627412473627
0,0.01,0.070075638167192,0.0509249562528534,0.0504557319438947,0.0416603926818855,0.0558649138071436,0.0455748470888741,0.0440209326781037,0.0438643457575409,0.046387704963932,0.0502889031864116
0,0.015,0.0713545310492687,0.0523108220669357,0.0511402490863073,0.043024158175822,0.0572322837245525,0.047134422117166,0.0444699481215208,0.0448611873426325,0.0483133299351838,0.0532387231852369
0,0.02,0.0711823556389729,0.052409107799113,0.0521185585306833,0.0431310774143959,0.0571029743016222,0.0485504347625037,0.0462063740335758,0.0453176724904801,0.0480508896089903,0.0528999426150576
0,0.025,0.0719692041089978,0.0538385273740718,0.0520333172748795,0.0443600592601701,0.0581035017024605,0.0482411433829521,0.0463592717579386,0.0462115791758664,0.0482650128196779,0.0527498206072434
0,0.03,0.0704249666289509,0.0540114738248803,0.0516287541765399,0.044870457750897,0.0571787667520175,0.050254601757275,0.0482760560102984,0.0470217408477924,0.050207557931719,0.0546500070674731
0,0.035,0.0729863678530465,0.0549625289138144,0.0526919021375392,0.0457393697726918,0.0603004354626124,0.0501974000812417,0.0476962293372072,0.0471179442868689,0.0499652923442881,0.0548137706662804
0,0.04,0.0716817717616421,0.0563309656723244,0.0521152918632409,0.0468121564441128,0.0580274943050622,0.0513010815601311,0.0496245875239888,0.0488764826424156,0.0514656461449964,0.0570183741745564
0,0.045,0.0705044138413847,0.0580423370349074,0.051448374127529,0.0483880836684005,0.0590647586812349,0.0522419335962373,0.0501579194166413,0.0505826336230719,0.053374011862325,0.0584934848473889
0,0.05,0.0699109242339614,0.0579937019173419,0.0532225935063711,0.0488345342833279,0.059831712082428,0.0531719397020891,0.0517397061528116,0.0510783415135734,0.0549578656163073,0.058457578759326
0,0.055,0.0696719806093624,0.0580695442373296,0.0508087938943814,0.0491008172128016,0.058958317096886,0.0533172862518234,0.0516504004246893,0.0508061386022565,0.0534899951479659,0.057798339847923
0,0.06,0.0697747939077909,0.0614756230196671,0.0522005229836595,0.0523456912099622,0.0598988736821131,0.0565950549587059,0.0546110468681891,0.0545247517075148,0.0571660252610523,0.0608381859734187
0,0.065,0.0722252839553982,0.0628208052552209,0.0523938352326279,0.0527798174855135,0.0604083708188374,0.0585481654069663,0.0562988121037222,0.0558312091548591,0.0588238709000673,0.0638161605316788
0,0.07,0.069079325384082,0.0645720031119043,0.0512116110034296,0.0539260074683804,0.058538496635776,0.0574967266643792,0.0561144760348502,0.0574652531258329,0.0600653046987859,0.0636499912610245
0,0.075,0.0693918157057697,0.0670498710125654,0.0516540759297483,0.057305534380902,0.0610041434568563,0.0604280183903397,0.0597418349074514,0.0593476758296752,0.0619041909824559,0.0643070753243292
0,0.08,0.0707435129288634,0.069280243613045,0.0514852263005787,0.0594566548447116,0.0633316141613331,0.0636111119270634,0.0617021465149449,0.0625379720610405,0.0655569951450659,0.0680921838913256
0,0.085,0.0695028527575861,0.069903029354113,0.0528806914894506,0.0615761863079932,0.062782903982105,0.0640036073222868,0.0631456708492592,0.0640561164513552,0.0661895746335831,0.0684203231118252
0,0.09,0.0712262153563685,0.0727039388561521,0.053165375284227,0.0627599042848878,0.0637246547084452,0.0659692188264684,0.0642982167271331,0.065147903670847,0.0682459621800388,0.0705830201238942
0,0.095,0.0698377678513549,0.0727400290739841,0.0522763985991798,0.0636484173122399,0.0628883072357752,0.0657016721629471,0.0649194775249137,0.065947336831313,0.0684630824211795,0.0707867621458212
0,0.1,0.0691346163778462,0.0742283497208051,0.0522937209191572,0.0645235374008082,0.0623011637949619,0.0680550908566834,0.0664666809832044,0.0675869816557121,0.0699308852067882,0.0720340677067752
0,0.105,0.0682410105007824,0.0759033057577153,0.0519061137216994,0.0666136669702828,0.0627649813242836,0.0678296018987396,0.0673927902059523,0.0690619365709098,0.0710583740256646,0.0725863972347252
0,0.11,0.0672470094820975,0.0788997079422227,0.0513110180788349,0.0692733837584123,0.0628075025117657,0.0692457709436902,0.0694195351021821,0.072235331653326,0.074568242792857,0.0749808226120663
0,0.115,0.0689632826368373,0.0814362484975879,0.0513597685562228,0.0723338779640177,0.0641562718341806,0.0729866170126131,0.0732873605450737,0.0762110050702957,0.0783084751158318,0.0776232897529425
