"gamma","r.x.v","LW","LS","W","S","GFIC","J10","J5","BIC","HQ","AIC"
0.005,0.035,0.0388051739144823,0.0362925670925113,0.0311917162947305,0.0320314622602193,0.0340004504123679,0.0332958933060423,0.0329733425604873,0.0354827391695255,0.035731783226223,0.0361380154226473
0.005,0.04,0.0392114438938117,0.0379030120391452,0.0319328531089265,0.0337669723470977,0.0356200227020371,0.0351518181275473,0.0343697020886447,0.036779239361787,0.0369180857192217,0.0381555229787496
0.005,0.045,0.0401684799445245,0.0404964761600634,0.0324913750689731,0.0353272092709493,0.0364392779379704,0.0366182179557215,0.0358371441311285,0.0392469328051115,0.0394045996868468,0.0401414504245851
0.005,0.05,0.0399452548809511,0.0421275051027199,0.0328078721185672,0.0372036889882602,0.0364976054440207,0.0382933702265442,0.0377929525704849,0.0408860828374034,0.0410189590739938,0.0420788976279266
0.005,0.055,0.0387507073822159,0.0438639744460003,0.030998641092545,0.0391099869920682,0.036395626957837,0.0395719593366389,0.0390337844251531,0.0425614962771413,0.0426914542401297,0.0426006849831068
0.005,0.06,0.0395538357714752,0.0453853314943253,0.0319464409755423,0.0401891476182077,0.0374903384711702,0.0401723664134842,0.0405561552901242,0.0437851847013745,0.0439209121815012,0.0437042736099559
0.005,0.065,0.0388782757605088,0.0477604203178761,0.0318149183193922,0.0421310229209924,0.0370869220713482,0.0417850087061366,0.0418195398952363,0.0463225372921298,0.0464792236271842,0.0449963041016399
0.005,0.07,0.0393729636845813,0.0494168173528725,0.0324471214805271,0.0439176572059378,0.0384257847042146,0.0433237165672663,0.0437940178707442,0.0480553841702694,0.0481385861142663,0.0468861919449064
0.005,0.075,0.0379626628682766,0.0513463456531294,0.0316392120167847,0.0456979991231187,0.0376734841909844,0.0447885522869988,0.044604871599618,0.0501488770802356,0.0501529668489549,0.0480143991173256
0.005,0.08,0.0395878859469027,0.0548292901637888,0.0319602855881872,0.0482783222713934,0.0388025632677399,0.045746401779077,0.0465298730285003,0.0533134971982286,0.0532473611871816,0.0500367722911732
0.005,0.085,0.0392389308085235,0.0569902562139077,0.0324016325482397,0.0510387473618116,0.0397433805830842,0.0475552238582548,0.0487686012101805,0.0555858923647589,0.0551041669679526,0.0512671581480958
0.005,0.09,0.0383476163635466,0.0605169846358955,0.0311555793448164,0.0535591483111771,0.0389922792460625,0.0491739127384913,0.0510538052302533,0.0592060599626403,0.0585598923706873,0.0533135293994542
